Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
6716 Carney Ave NW,3 Beds,2 Baths,"1,687 sqft",1992,2 Car Garage,No,"$250,000",Albuquerque
7429 Gila Rd NE,4 Beds,2 Baths,"2,245 sqft",1973,Garage,No,"$445,990",Albuquerque
9919 Brunswick Pl NW,4 Beds,3 Baths,"2,168 sqft",2004,2 Car Garage,No,"$350,000",Albuquerque
4413 Delamar Ave NE,3 Beds,2 Baths,"1,867 sqft",1959,2 Carport Spaces,No,"$255,000",Albuquerque
4618 Inspiration Dr SE,4 Beds,2 Baths,"1,973 sqft",1951,No Info,No,"$280,000",Albuquerque
5701 Altima Pl NW,4 Beds,3 Baths,"2,336 sqft",1998,3 Car Garage,No,"$359,900",Albuquerque
12213 Cedar Ridge Dr NE,3 Beds,2 Baths,"1,568 sqft",1968,2 Car Garage,Yes,"$249,900",Albuquerque
1315 Ponderosa Ave NW,3 Beds,2 Baths,"1,432 sqft",1959,No Info,No,"$249,000",Albuquerque
10740 Galaxia Park Dr NW,3 Beds,2 Baths,"1,742 sqft",1999,2 Car Garage,No,"$260,000",Albuquerque
8019 Lyndsi Ave NW,4 Beds,3 Baths,"2,007 sqft",1997,2 Car Garage,No,"$279,900",Albuquerque
4943 Story Rock St NW,3 Beds,2 Baths,"1,458 sqft",2003,2 Car Garage,No,"$265,000",Albuquerque
7715 Snowberry St NW,3 Beds,2 Baths,"1,570 sqft",1990,2 Car Garage,No,"$259,000",Albuquerque
10724 Hatch Dr NW,3 Beds,2 Baths,"1,090 sqft",2001,2 Car Garage,No,"$225,000",Albuquerque
10833 Lowe St NE,4 Beds,2 Baths,"1,726 sqft",1978,2 Car Garage,No,"$325,000",Albuquerque
7827 Buckboard Ave NE,4 Beds,2 Baths,"1,861 sqft",1979,2 Car Garage,Yes,"$335,000",Albuquerque
2900 Pennsylvania St NE,3 Beds,2 Baths,"1,761 sqft",1959,2 Car Garage,No,"$265,000",Albuquerque
7300 Bobwhite Ln NE,3 Beds,2 Baths,"1,872 sqft",1987,Garage,No,"$180,000",Albuquerque
4704 Haines Ave NE,3 Beds,1 Bath,"1,147 sqft",1952,1 Car Garage,No,"$250,000",Albuquerque
9804 Sun Mountain Trl SW,3 Beds,2 Baths,"1,571 sqft",2006,2 Car Garage,No,"$228,000",Albuquerque
1015 Via Chamisa NE,4 Beds,2 Baths,"1,880 sqft",2001,2 Car Garage,No,"$375,000",Albuquerque
9619 Slickrock Ct NW,3 Beds,3 Baths,"2,312 sqft",2014,3 Car Garage,No,"$390,000",Albuquerque
1051 Marapi St NW,3 Beds,3 Baths,"1,930 sqft",2006,2 Car Garage,No,"$319,500",Albuquerque
5520 Benson Ct NW,3 Beds,2 Baths,"1,518 sqft",2005,Garage,No,"$281,300",Albuquerque
14000 Oak Butte Rd NE,5 Beds,3 Baths,"4,963 sqft ",1991,3 Car Garage,No,"$695,000",Albuquerque
4038 Anderson Ave SE,3 Beds,2 Baths,"1,365 sqft",1945,1 Car Garage,No,"$285,000",Albuquerque
12516 Mountain Ridge Pl NE,3 Beds,3 Baths,"2,236 sqft",1998,2 Car Garage,No,"$375,000",Albuquerque
11500 Molly Brown Ave NE,5 Beds,3 Baths,"3,570 sqft",1983,2 Car Garage,No,"$600,000",Albuquerque
4800 Royene Ave NE,4 Beds,3 Baths,"2,698 sqft",1957,3 Carport Spaces,No,"$568,000",Albuquerque
232 Serenity Ct SE,2 Beds,2 Baths,"1,337 sqft",1995,2 Car Garage,No,"$245,000",Albuquerque
4713 Hannett Ave NE,3 Beds,2 Baths,"1,795 sqft",1952,1 Car Garage,No,"$560,000",Albuquerque
3503 Berkeley Pl NE,3 Beds,2 Baths,"2,338 sqft",1940,1 Car Garage,Yes,"$575,000",Albuquerque
8420 Aztec Rd NE,5 Beds,3 Baths,"2,861 sqft",1966,2 Car Garage,No,"$542,900",Albuquerque
6411 Sonrisa Pl NE,4 Beds,3 Baths,"1,750 sqft",2000,2 Car Garage,No,"$375,000",Albuquerque
6135 Bisbee Pl NW,3 Beds,3 Baths,"1,899 sqft",2001,2 Car Garage,No,"$285,000",Albuquerque
1141 Glorieta St NE,4 Beds,2 Baths,"1,732 sqft",1957,2 Carport Spaces,No,"$256,000",Albuquerque
221 58th St NW,2 Beds,2 Baths,937 sqft,1940,No Info,No,"$165,000",Albuquerque
8504 Sonoma Valley Dr NE,3 Beds,3 Baths,"2,617 sqft",1995,2 Car Garage,No,"$515,000",Albuquerque
8505 Mesa Top Rd NW,3 Beds,3 Baths,"2,448 sqft",2011,2 Car Garage,No,"$465,000",Albuquerque
324 14th St NW,2 Beds,2 Baths,"1,195 sqft",1926,1 Car Garage,No,"$260,000",Albuquerque
5005 Inspiration Dr SE,3 Beds,2 Baths,"1,649 sqft",1953,1 Car Garage,No,"$315,000",Albuquerque
9820 Wagon Gate Trl SW,4 Beds,2 Baths,"1,584 sqft",2006,2 Car Garage,No,"$238,000",Albuquerque
5928 Night Shadow Ave NW,3 Beds,2 Baths,"1,262 sqft",2003,2 Car Garage,No,"$239,900",Albuquerque
4204 Brockmont Ave NE,2 Beds,2 Baths,"1,450 sqft",1950,1 Car Garage,No,"$339,900",Albuquerque
1225 Columbia Dr NE,4 Beds,3 Baths,"2,051 sqft",1948,No Info,No,"$525,000",Albuquerque
6008 Cardigan Ct NW,3 Beds,3 Baths,"2,250 sqft",1995,2 Car Garage,No,"$325,000",Albuquerque
7712 Ned St NE,3 Beds,2 Baths,"1,792 sqft ",1998,No Info,,"$200,000",Albuquerque
9701 Constitution Ave NE,3 Beds,1 Bath,"1,121 sqft",1956,1 Car Garage,No,"$212,900",Albuquerque
6511 Wayne Rd NW,3 Beds,2 Baths,"1,292 sqft",1985,Garage,No,"$179,900",Albuquerque
215 Shawnee Ct SE,3 Beds,3 Baths,"1,506 sqft",1988,Garage,,"$150,000",Albuquerque
6601 Tauton Rd NW,3 Beds,2 Baths,"1,751 sqft",2003,2 Car Garage,No,"$269,000",Albuquerque
10512 San Jacinto Ave NE,3 Beds,2 Baths,"1,780 sqft",1959,No Info,No,"$254,900",Albuquerque
9036 Wind Caves Way NW,2 Beds,2 Baths,"2,035 sqft",2017,2 Car Garage,No,"$525,000",Albuquerque
4701 Morris St NE #903,3 Beds,3 Baths,"1,328 sqft",2002,1 Car Garage,,"$205,000",Albuquerque
214 Shangri La Ct NW,3 Beds,2 Baths,"2,110 sqft",1949,No Info,Yes,"$380,000",Albuquerque
6640 Casa Loma NE,2 Beds,2 Baths,"2,296 sqft",1981,2 Car Garage,No,"$325,000",Albuquerque
3524 12th St NW,2 Beds,1 Bath,"1,230 sqft ",1939,Garage,No,"$200,000",Albuquerque
4207 Lead Ave SE,3 Beds,2 Baths,"1,254 sqft",1954,No Info,No,"$229,000",Albuquerque
4931 Palo Alto Ave SE,4 Beds,2 Baths,"1,604 sqft",1950,No Info,No,"$245,000",Albuquerque
2928 Pauza Dr SW,3 Beds,2 Baths,"1,400 sqft",2018,2 Car Garage,No,"$232,000",Albuquerque
7415 Saltbrush Rd SW,3 Beds,2 Baths,"1,092 sqft",1999,2 Car Garage,No,"$198,500",Albuquerque
1601 Borrego Dr SE,4 Beds,3 Baths,"1,998 sqft",2019,2 Car Garage,,"$330,000",Albuquerque
6504 Belcher Ave NE,4 Beds,3 Baths,"2,025 sqft",1979,Garage,Yes,"$375,000",Albuquerque
9220 Hondo Valley Pl SW,4 Beds,2 Baths,"1,681 sqft",2007,2 Car Garage,No,"$225,000",Albuquerque
1404 8th St SW,3 Beds,2 Baths,"1,796 sqft",2018,2 Car Garage,No,"$295,000",Albuquerque
6915 Brindisi Pl NW,3 Beds,3 Baths,"1,414 sqft",2005,2 Car Garage,No,"$220,000",Albuquerque
928 Avenida Manana NE,4 Beds,3 Baths,"2,469 sqft",1951,2 Car Garage,No,"$565,000",Albuquerque
9805 Sun Chaser Trl SW,3 Beds,3 Baths,"2,575 sqft",2006,2 Car Garage,No,"$285,000",Albuquerque
