Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
6214 Meadowbank Ln,3 Beds,2 Baths,"1,471 sqft",2019,2 Car Garage,No,"$368,500",Colorado
3325 Bridgewater Dr,3 Beds,2 Baths,"1,401 sqft",1984,2 Car Garage,No,"$350,000",Colorado
7617 Firehawk Ln,3 Beds,3 Baths,"1,280 sqft",2004,2 Car Garage,No,"$335,000",Colorado
6842 Noble St,3 Beds,2 Baths,"1,253 sqft",1983,1 Car Garage,No,"$335,000",Colorado
2904 Templeton Gap Rd,4 Beds,2 Baths,"2,094 sqft",1954,1 Car Garage,No,"$385,000",Colorado
1626 N Franklin St,2 Beds,2 Baths,"2,214 sqft",1928,Garage,No,"$550,000",Colorado
4085 Host Ln,4 Beds,2 Baths,"2,216 sqft",1970,2 Car Garage,No,"$409,000",Colorado
Cypress by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,721 sqft",2021,No Info,No,"$297,382+",Colorado
2828 W Kiowa St,3 Beds,2 Baths,"1,988 sqft",1898,No Info,No,"$425,000",Colorado
4655 Vireos Vw,3 Beds,3 Baths,"1,458 sqft",2009,2 Car Garage,No,"$369,000",Colorado
4645 Pascal Ct,5 Beds,4 Baths,"3,123 sqft",2004,3 Car Garage,No,"$510,000",Colorado
7677 Marmot Point,3 Beds,2 Baths,"1,428 sqft",2000,2 Car Garage,,"$244,900",Colorado
128 Brigham Ct,5 Beds,5 Baths,"4,996 sqft ",1994,3 Car Garage,No,"$775,000",Colorado
6214 Wallowing Way,4 Beds,3 Baths,"1,748 sqft",2015,2 Car Garage,No,"$399,000",Colorado
6010 Grapevine Dr,4 Beds,3 Baths,"2,128 sqft",1996,2 Car Garage,No,"$425,000",Colorado
9319 Prairie Clover Dr,4 Beds,4 Baths,"2,636 sqft",2001,Garage,No,"$464,000",Colorado
1504 W Pikes Peak Ave,2 Beds,2 Baths,"1,200 sqft",1947,Garage,No,"$430,000",Colorado
1375 Ride Ln,3 Beds,2 Baths,"1,348 sqft",1986,No Info,No,"$334,900",Colorado
511 Rolling Hills Dr,2 Beds,1 Bath,784 sqft,1982,Garage,,"$239,000",Colorado
617 Manitoba Dr,2 Beds,1 Bath,666 sqft,1953,Garage,No,"$250,000",Colorado
715 Ellston St,4 Beds,3 Baths,"1,810 sqft",1963,1 Car Garage,No,"$379,000",Colorado
4627 Skylark Rd,3 Beds,2 Baths,"1,242 sqft",2002,2 Car Garage,No,"$329,900",Colorado
5683 Flicka Dr,3 Beds,4 Baths,"3,044 sqft",2007,3 Car Garage,No,"$520,000",Colorado
4211 Maxwell Rd,4 Beds,2 Baths,"1,838 sqft ",1964,1 Car Garage,No,"$320,000",Colorado
6689 Flintridge Dr,4 Beds,3 Baths,"2,179 sqft",1981,2 Car Garage,No,"$395,000",Colorado
1606 Baylor Dr,4 Beds,3 Baths,"1,656 sqft",1962,1 Car Garage,No,"$385,000",Colorado
1103 Fosdick Dr,5 Beds,3 Baths,"2,126 sqft",1966,Garage,No,"$360,000",Colorado
4830 Jet Wing Cir W,3 Beds,2 Baths,"1,607 sqft",1986,2 Car Garage,No,"$359,973",Colorado
3625 Carefree Pl,4 Beds,3 Baths,"2,491 sqft",1977,2 Car Garage,No,"$420,000",Colorado
1713 Russell Cir,4 Beds,3 Baths,"2,102 sqft",1969,2 Car Garage,No,"$425,000",Colorado
9284 Sand Myrtle Dr,4 Beds,3 Baths,"2,621 sqft",2011,2 Car Garage,No,"$430,000",Colorado
402 Yellowstone Rd,4 Beds,2 Baths,"1,890 sqft",1958,No Info,No,"$340,000",Colorado
6323 La Plata Peak Dr,4 Beds,4 Baths,"2,479 sqft",2001,2 Car Garage,No,"$475,000",Colorado
4318 Moonbeam Dr,4 Beds,3 Baths,"1,859 sqft",1977,2 Car Garage,No,"$345,000",Colorado
