Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
6620 Olive Branch Ct,4 Beds,3 Baths,"2,350 sqft ",2002,Garage,No,"$260,000",Indianapolis
5335 Thornleigh Dr,3 Beds,2 Baths,"1,599 sqft ",1958,Garage,No,"$200,000",Indianapolis
3766 E 65th St,3 Beds,4 Baths,"2,936 sqft ",1992,Garage,No,"$359,000",Indianapolis
526 S Pine St,3 Beds,3 Baths,"2,890 sqft",1887,No Info,No,"$340,000",Indianapolis
5543 Vicksburg Dr,4 Beds,3 Baths,"1,800 sqft",1989,Garage,No,"$209,900",Indianapolis
3921 N Capitol Ave,3 Beds,2 Baths,"2,732 sqft",1919,Garage,No,"$239,900",Indianapolis
3047 Seerley Creek Dr,3 Beds,2 Baths,"1,235 sqft",1997,Garage,No,"$160,000",Indianapolis
7561 Micawber Cir,2 Beds,2 Baths,"1,274 sqft",1984,Garage,No,"$275,000",Indianapolis
4055 Viva Ln,4 Beds,3 Baths,"2,295 sqft",2017,Garage,No,"$275,000",Indianapolis
3120 Acoma Dr,4 Beds,3 Baths,"2,508 sqft",1974,Garage,No,"$169,900",Indianapolis
7809 Timber Run Ln,4 Beds,4 Baths,"4,951 sqft ",1999,Garage,No,"$550,000",Indianapolis
8131 Briarwood Dr,3 Beds,2 Baths,"1,269 sqft ",1958,Garage,No,"$219,900",Indianapolis
4321 Viva Ln,3 Beds,2 Baths,"1,461 sqft",2011,Garage,No,"$229,900",Indianapolis
624 E Edgewood Ave,4 Beds,2 Baths,"2,952 sqft",1947,Garage,No,"$245,000",Indianapolis
4235 Five Points Rd,3 Beds,2 Baths,"1,212 sqft",1967,Garage,No,"$175,000",Indianapolis
1805 Winchester Dr,3 Beds,2 Baths,"1,651 sqft ",1965,Garage,No,"$225,000",Indianapolis
3209 Acacia Dr,4 Beds,3 Baths,"2,132 sqft",1977,Garage,No,"$234,900",Indianapolis
6369 River Valley Way,3 Beds,2 Baths,"1,216 sqft ",1999,Garage,No,"$180,000",Indianapolis
1313 Oakwood Trl,3 Beds,2 Baths,"2,261 sqft",1958,Garage,No,"$270,000",Indianapolis
6335 N Park Ave,3 Beds,2 Baths,"2,700 sqft",1939,Garage,No,"$349,900",Indianapolis
3330 S Rural St,3 Beds,2 Baths,"1,074 sqft ",1965,Garage,No,"$197,500",Indianapolis
3040 Marquette Ct,4 Beds,3 Baths,"2,633 sqft ",1970,Garage,No,"$280,000",Indianapolis
6521 Rockville Rd,4 Beds,2 Baths,"3,705 sqft ",1931,Garage,No,"$300,000",Indianapolis
2367 Valley Creek East Ln,3 Beds,3 Baths,"1,600 sqft ",1998,Garage,No,"$205,900",Indianapolis
825 Chapel Hill Rd,3 Beds,2 Baths,"1,526 sqft ",1966,Garage,No,"$199,900",Indianapolis
6641 Rosebud Ln,3 Beds,2 Baths,"1,494 sqft",1995,Garage,No,"$230,000",Indianapolis
4035 Kessler Blvd E Dr,3 Beds,2 Baths,"3,047 sqft ",1920,Garage,No,"$353,500",Indianapolis
11540 Crockett Dr,4 Beds,3 Baths,"1,728 sqft",1992,Garage,No,"$190,000",Indianapolis
431 Dixie Dr,3 Beds,2 Baths,"1,778 sqft ",1967,Garage,No,"$279,000",Indianapolis
3843 Bressingham Dr,4 Beds,3 Baths,"1,740 sqft",1997,Garage,No,"$183,000",Indianapolis
210 Belmar Ave,3 Beds,2 Baths,"1,340 sqft",1974,Open Parking,No,"$165,000",Indianapolis
7731 Hoyt Ave,4 Beds,3 Baths,"2,592 sqft",1994,Garage,No,"$225,000",Indianapolis
6522 McCreery Ct,4 Beds,3 Baths,"2,110 sqft",2018,Garage,No,"$280,000",Indianapolis
8756 Sugar Pine Point,4 Beds,3 Baths,"2,163 sqft",1988,Garage,No,"$257,500",Indianapolis
7170 Allisonville Rd,4 Beds,3 Baths,"2,481 sqft",1961,Garage,No,"$324,900",Indianapolis
477 N Audubon Rd,4 Beds,2 Baths,"4,110 sqft ",1912,Garage,No,"$397,000",Indianapolis
7725 Cove Ct,4 Beds,3 Baths,"3,440 sqft ",1977,Garage,No,"$450,000",Indianapolis
1314 Edgemont Ave,4 Beds,2 Baths,"2,713 sqft",1925,Garage,No,"$150,000",Indianapolis
4220 Ballybay Ln,5 Beds,3 Baths,"2,444 sqft",2007,Garage,No,"$280,000",Indianapolis
7218 Steinmeier Dr,4 Beds,3 Baths,"2,251 sqft ",1963,Garage,No,"$360,000",Indianapolis
650 Braeside Dr S,4 Beds,4 Baths,"4,974 sqft ",1980,Garage,No,"$550,000",Indianapolis
5911 E 21st St,2 Beds,2 Baths,"1,652 sqft ",1948,Garage,No,"$137,000",Indianapolis
1749 Rooses Ln,5 Beds,5 Baths,"4,000 sqft ",1997,Garage,No,"$479,900",Indianapolis
3243 S Pennsylvania St,2 Beds,2 Baths,"1,850 sqft ",1951,Garage,No,"$145,000",Indianapolis
1222 N Parker Ave,4 Beds,2 Baths,"2,852 sqft",1916,Garage,No,"$247,000",Indianapolis
2215 E Stop 10 Rd,3 Beds,3 Baths,"2,870 sqft",1960,Garage,No,"$249,900",Indianapolis
535 W 92nd St,3 Beds,2 Baths,"2,664 sqft",1955,Garage,No,"$689,900",Indianapolis
1525 E 82nd St,4 Beds,3 Baths,"2,784 sqft ",1957,Garage,No,"$650,000",Indianapolis
2303 Valley Creek East Ln,5 Beds,3 Baths,"2,412 sqft ",1994,Garage,No,"$235,000",Indianapolis
6316 Calais Dr,4 Beds,5 Baths,"4,323 sqft ",1995,Garage,No,"$650,000",Indianapolis
6424 Tranquility Ct,4 Beds,3 Baths,"2,656 sqft",2017,Garage,No,"$385,000",Indianapolis
9551 Woodsong Ln,3 Beds,2 Baths,"1,583 sqft",2014,Garage,No,"$218,000",Indianapolis
5127 Seerley Creek Rd,3 Beds,2 Baths,"1,164 sqft",2001,Garage,No,"$164,900",Indianapolis
3730 Carson Ave,3 Beds,1 Bath,918 sqft,1953,No Info,No,"$139,900",Indianapolis
4915 Fall Creek Rd,5 Beds,5 Baths,"5,529 sqft ",1988,Garage,No,"$750,000",Indianapolis
11317 Falls Church Dr,3 Beds,2 Baths,"1,684 sqft",2006,Garage,No,"$190,000",Indianapolis
4310 Springwood Trl,5 Beds,5 Baths,"5,380 sqft ",1964,Garage,No,"$539,900",Indianapolis
6640 N College Ave,2 Beds,1 Bath,"1,924 sqft",1930,Garage,No,"$264,900",Indianapolis
1432 N Downey Ave,3 Beds,2 Baths,"2,322 sqft",1954,Garage,No,"$225,000",Indianapolis
2329 Gradison Cir,4 Beds,3 Baths,"1,978 sqft",1995,Garage,No,"$212,500",Indianapolis
8721 Kipling Dr,3 Beds,3 Baths,"2,718 sqft",2006,Garage,No,"$349,000",Indianapolis
8901 Jackson St,3 Beds,2 Baths,"1,120 sqft",1981,Garage,No,"$149,900",Indianapolis
17 W Thompson Rd,2 Beds,1 Bath,"2,128 sqft ",1936,Garage,No,"$190,000",Indianapolis
6612 Churchman Ave,3 Beds,2 Baths,"3,884 sqft ",1878,Open Parking,No,"$425,000",Indianapolis
3136 E Edgewood Ave,3 Beds,2 Baths,"3,001 sqft ",1905,Garage,No,"$243,900",Indianapolis
4903 E 70th St,3 Beds,2 Baths,"2,128 sqft ",1956,Garage,No,"$250,000",Indianapolis
1105 N Bosart Ave,2 Beds,2 Baths,"1,968 sqft",1929,Garage,No,"$175,000",Indianapolis
4434 Foltz St,2 Beds,1 Bath,"1,998 sqft ",1954,Garage,No,"$148,990",Indianapolis
3662 Graceland Ave,3 Beds,1 Bath,"2,029 sqft",1915,No Info,No,"$150,000",Indianapolis
6925 N Park Ave,3 Beds,3 Baths,"2,938 sqft",1951,Garage,No,"$374,999",Indianapolis
1532 Pleasant St,3 Beds,2 Baths,"1,523 sqft",1880,Garage,No,"$279,900",Indianapolis
1883 Valley Dr,4 Beds,3 Baths,"2,490 sqft ",1992,Garage,No,"$475,000",Indianapolis
6634 Stonepoint Way,4 Beds,3 Baths,"4,556 sqft",2004,Garage,No,"$499,000",Indianapolis
110 E Palmer St,4 Beds,4 Baths,"2,645 sqft",1900,No Info,No,"$349,000",Indianapolis
