Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
6935 Smiling Cloud Ave,2 Beds,3 Baths,"1,209 sqft",2007,Garage,No,"$272,100",Las Vegas
9828 Piper Glen Pl,3 Beds,2 Baths,"1,122 sqft",1997,Garage,No,"$389,900",Las Vegas
7904 Aspect Way,4 Beds,3 Baths,"2,625 sqft",1995,Garage,Yes,"$556,900",Las Vegas
4024 Grasmere Ave,3 Beds,3 Baths,"1,476 sqft",1986,Garage,,"$292,900",Las Vegas
3829 Pumpkin Creek St,4 Beds,3 Baths,"2,315 sqft",2005,Garage,No,"$411,300",Las Vegas
3237 Rainmaker St,4 Beds,3 Baths,"1,548 sqft",1999,Garage,No,"$421,900",Las Vegas
5261 Janfred Ct #30,2 Beds,3 Baths,"1,213 sqft",1983,1 Carport Spaces,,"$193,900",Las Vegas
5007 Spencer St #B,2 Beds,2 Baths,828 sqft,1979,Garage,No,"$173,900",Las Vegas
4481 Margarete Ave,4 Beds,3 Baths,"1,712 sqft",1973,2 Car Garage,Yes,"$380,000",Las Vegas
8635 Weed Willows Ave,5 Beds,4 Baths,"2,913 sqft",2013,3 Car Garage,No,"$525,000",Las Vegas
575 Lacabana Beach Dr,4 Beds,3 Baths,"2,528 sqft",2003,Garage,Yes,"$656,900",Las Vegas
3915 Belhaven St,4 Beds,3 Baths,"2,318 sqft ",1979,2 Car Garage,Yes,"$525,000",Las Vegas
8920 Paula Jean Ave,3 Beds,4 Baths,"1,464 sqft",2006,Garage,No,"$340,900",Las Vegas
6640 Chimes Tower Ave,5 Beds,3 Baths,"3,297 sqft",2002,Garage,No,"$574,900",Las Vegas
3739 Gilmore Creek St,3 Beds,3 Baths,"1,833 sqft",2015,Garage,No,"$431,900",Las Vegas
9712 Wildflower Vista Ave,3 Beds,4 Baths,"3,089 sqft",2017,3 Car Garage,No,"$675,000",Las Vegas
5228 Burnham Ave,4 Beds,2 Baths,"1,707 sqft",1970,Attached Garage,Yes,"$399,000",Las Vegas
3947 Windansea St,4 Beds,3 Baths,"2,618 sqft",1996,3 Car Garage,Yes,"$645,995",Las Vegas
5909 Lambert Bridge Ave,4 Beds,4 Baths,"2,014 sqft",2010,Garage,No,"$443,900",Las Vegas
10379 Perfect Parsley St,2 Beds,3 Baths,"1,188 sqft",2002,Garage,No,"$289,900",Las Vegas
9325 Harbor Stream Ave,3 Beds,3 Baths,"1,544 sqft",2006,Garage,No,"$414,900",Las Vegas
5600 Orchard Ln,2 Beds,1 Bath,"1,005 sqft",1984,Garage,,"$174,900",Las Vegas
7113 Maybrook Dr,3 Beds,2 Baths,"1,722 sqft",1987,Garage,Yes,"$464,900",Las Vegas
6124 Topaz Valley Ave,3 Beds,3 Baths,"2,026 sqft",1995,3 Car Garage,Yes,"$504,999",Las Vegas
50 Olympia Outlook Dr,6 Beds,7 Baths,"6,250 sqft ",2019,4 Car Garage,Yes,"$3,800,000",Las Vegas
288 Locust Valley Ave,3 Beds,3 Baths,"1,831 sqft",2011,2 Car Garage,No,"$410,000",Las Vegas
10248 Mopan Rd,4 Beds,4 Baths,"2,336 sqft",2013,Garage,No,"$489,900",Las Vegas
8381 Carbon Heights Ct,4 Beds,2 Baths,"1,913 sqft",2005,2 Car Garage,No,"$410,000",Las Vegas
1110 Barnard Dr,3 Beds,2 Baths,"1,332 sqft",1951,Garage,Yes,"$399,960",Las Vegas
162 Surf Ln,2 Beds,1 Bath,930 sqft,1983,Garage,No,"$199,900",Las Vegas
3835 El Paso Dr,3 Beds,3 Baths,"2,190 sqft",1973,2 Car Garage,Yes,"$395,000",Las Vegas
6562 Barbary Cir,4 Beds,3 Baths,"2,161 sqft",1981,Garage,No,"$429,800",Las Vegas
5335 Tipper Ave,3 Beds,3 Baths,"1,319 sqft",2007,Garage,No,"$295,900",Las Vegas
7301 Breezy Night Ct,4 Beds,4 Baths,"3,078 sqft ",1996,3 Car Garage,Yes,"$799,900",Las Vegas
7341 Nautical Stone Ct,3 Beds,3 Baths,"1,783 sqft",2007,Garage,No,"$394,900",Las Vegas
4217 Pasternak Dr,4 Beds,3 Baths,"2,013 sqft",1986,2 Car Garage,No,"$299,900",Las Vegas
2220 Santa Paula Dr,5 Beds,4 Baths,"2,674 sqft",1951,3 Carport Spaces,Yes,"$449,999",Las Vegas
10951 Stardust Dr,4 Beds,6 Baths,"6,634 sqft ",2019,3 Car Garage,Yes,"$15,400,000",Las Vegas
16 Oakmont Hills Ln,5 Beds,7 Baths,"10,462 sqft ",2020,4 Car Garage,Yes,"$11,000,000",Las Vegas
