Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
303 E 57th St #32B,2 Beds,3 Baths,"1,800 sqft",1968,No Info,Pool,"$329,000",New York
2239 Troy Ave #5N,2 Beds,1 Bath,"1,000 sqft",1953,No Info,,"$199,000",New York
432 Park Ave #PENTHOUSE,6 Beds,9 Baths,"8,255 sqft",2015,No Info,Pool,"$169,000,000",New York
100 W 57th St #19M,Studio,1 Bath,450 sqft,1962,No Info,,"$119,000",New York
8829 183rd St,3 Beds,2 Baths,"1,632 sqft",1930,Garage,No,"$250,000",New York
9915 200th St,6 Beds,4 Baths,"2,831 sqft",1940,No Info,,"$405,000",New York
303 E 57th St #37DE,4 Beds,4 Baths,,Year Built,,Pool,"$495,000",New York
Address Not Disclosed,4 Beds,1 Bath,,1899,No Info,No,"$2,700",New York
326 Covert St,11 Beds,6 Baths,"4,680 sqft",1906,No Info,,"$699,000",New York
173-11 110th Ave,6 Beds,4 Baths,"2,168 sqft",2005,No Info,,"$453,200",New York
10727 155th St,6 Beds,3 Baths,"3,120 sqft",2005,No Info,No,"$300,000",New York
12 E 63rd St,7 Beds,11 Baths,"13,000 sqft",1910,No Info,No,"$63,000,000",New York
340 E 83rd St #4B,1 Bed,1 Bath,,Year Built,,,"$258,000",New York
134 W 113th St #5R,3 Beds,2 Baths,"1,000 sqft",1910,No Info,,"$375,000",New York
139-30 227th St,3 Beds,2 Baths,"1,362 sqft",1940,Garage,No,"$409,900",New York
217 W 57th St #127/128,8 Beds,10 Baths,"11,535 sqft",2020,No Info,Pool,"$150,000,000",New York
1633 E 36th St,3 Beds,2 Baths,"1,084 sqft",1920,No Info,No,"$699,888",New York
303 E 57th St #12G,2 Beds,2 Baths,"1,400 sqft",1968,No Info,Pool,"$345,000",New York
35 Hudson Yards #90,5 Beds,7 Baths,"10,171 sqft",2019,No Info,Pool,"$54,500,000",New York
97 S 8th St #22,2 Beds,1 Bath,,1910,No Info,,"$325,000",New York
