Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
8025 Walker St,4 Beds,2 Baths,"1,428 sqft",1945,Open Parking,No,"$290,000",Philadelphia
3910 N 9th St,3 Beds,2 Baths,"1,024 sqft",1920,Open Parking,Pool,"$179,000",Philadelphia
819 Kendrick St,3 Beds,3 Baths,"1,572 sqft",1966,1 Car Garage,No,"$359,900",Philadelphia
611 E Locust Ave,6 Beds,4 Baths,"3,240 sqft",1925,Open Parking,No,"$350,000",Philadelphia
524 Lombard St #C,3 Beds,3 Baths,"1,536 sqft",1978,1 Car Garage,Pool,"$589,000",Philadelphia
46 E Johnson St,5 Beds,4 Baths,"3,336 sqft",1905,2 Open Spaces,No,"$525,000",Philadelphia
209 Ripka St,3 Beds,2 Baths,"1,740 sqft",2002,None,Pool,"$325,000",Philadelphia
4529 Pearce St,4 Beds,3 Baths,"1,600 sqft",1940,1 Open Spaces,No,"$299,900",Philadelphia
7044 Dorcas St,3 Beds,3 Baths,"1,800 sqft",1950,1 Car Garage,No,"$275,000",Philadelphia
2615 E Dauphin St,2 Beds,2 Baths,956 sqft,1900,Open Parking,Pool,"$319,000",Philadelphia
528 Hoffnagle St,4 Beds,2 Baths,"1,901 sqft",1966,1 Car Garage,No,"$379,900",Philadelphia
5421 N 12th St,4 Beds,4 Baths,"1,600 sqft",1940,Open Parking,No,"$242,000",Philadelphia
724 Disston St,3 Beds,2 Baths,"1,260 sqft",1950,Garage,No,"$265,000",Philadelphia
5305 W Girard Ave,5 Beds,2 Baths,"2,212 sqft",1925,Open Parking,Pool,"$178,900",Philadelphia
7036 Ditman St,3 Beds,2 Baths,"1,440 sqft",1935,Garage,No,"$259,000",Philadelphia
2223 Taggert St,2 Beds,2 Baths,"1,173 sqft",1935,Open Parking,Pool,"$365,000",Philadelphia
1073 Surrey Rd,3 Beds,2 Baths,"1,152 sqft",1959,1 Car Garage,No,"$269,900",Philadelphia
2122 Hartel Ave,4 Beds,3 Baths,"2,324 sqft",1925,1 Car Garage,No,"$369,900",Philadelphia
6044 N Norwood St,4 Beds,2 Baths,"1,258 sqft",1920,Open Parking,No,"$188,900",Philadelphia
4408 Barry Rd,3 Beds,3 Baths,"2,250 sqft",1964,2 Car Garage,No,"$425,000",Philadelphia
2805 Welsh Rd,3 Beds,2 Baths,"1,152 sqft",1963,2 Open Spaces,No,"$255,000",Philadelphia
5919 Nassau Rd,3 Beds,2 Baths,"1,248 sqft",1925,1 Car Garage,Pool,"$249,900",Philadelphia
825 N 29th St #5J,1 Bed,1 Bath,718 sqft,1856,No Info,Pool,"$285,000",Philadelphia
705 Fulton St,4 Beds,3 Baths,"2,290 sqft",1920,Open Parking,Pool,"$775,000",Philadelphia
724 E Clearfield St,3 Beds,1 Bath,"1,200 sqft",1920,Open Parking,Pool,"$80,000",Philadelphia
201 Krams Ave,4 Beds,1 Bath,"1,611 sqft",1900,Open Parking,No,"$249,900",Philadelphia
215 S Jessup St,2 Beds,2 Baths,"1,350 sqft",,,Pool,"$575,000",Philadelphia
9308 Milnor St,3 Beds,3 Baths,"1,440 sqft",1988,2 Open Spaces,No,"$350,000",Philadelphia
3506 Warden Dr,4 Beds,4 Baths,"1,810 sqft",1945,2 Car Garage,No,"$595,000",Philadelphia
101 W Nippon St,4 Beds,4 Baths,"2,364 sqft",1925,Open Parking,No,"$425,000",Philadelphia
604 Annin St,3 Beds,3 Baths,"1,463 sqft",1920,Open Parking,Pool,"$439,000",Philadelphia
212 E Gowen Ave,5 Beds,4 Baths,"4,976 sqft",1929,Garage,No,"$985,000",Philadelphia
15 E Abington Ave,4 Beds,4 Baths,"2,558 sqft",1925,Garage,No,"$979,500",Philadelphia
2211 Aspen St,3 Beds,2 Baths,"1,485 sqft",1923,Open Parking,Pool,"$625,000",Philadelphia
118 E Durham St,4 Beds,3 Baths,"2,404 sqft",1925,2 Open Spaces,No,"$483,500",Philadelphia
5255 Montour St,3 Beds,3 Baths,"1,472 sqft",1950,1 Car Garage,Pool,"$195,000",Philadelphia
130 S 58th St,4 Beds,3 Baths,"1,320 sqft",1925,Open Parking,Pool,"$259,900",Philadelphia
4431 Sherwood Rd,3 Beds,3 Baths,"1,352 sqft",1925,Open Parking,Pool,"$245,000",Philadelphia
356 Dawson St,3 Beds,2 Baths,"1,046 sqft",1950,1 Open Spaces,Pool,"$272,900",Philadelphia
8528 Benton Ave,3 Beds,3 Baths,"1,626 sqft",1965,1 Car Garage,No,"$325,000",Philadelphia
5013 Warrington Ave,3 Beds,4 Baths,"2,700 sqft",1925,Open Parking,No,"$594,900",Philadelphia
4215 Lansing St,3 Beds,2 Baths,"1,434 sqft",1945,1 Car Garage,No,"$269,900",Philadelphia
4223 Aldine St,3 Beds,2 Baths,"1,204 sqft",1950,1 Open Spaces,Pool,"$210,000",Philadelphia
2115 W Indiana Ave,3 Beds,2 Baths,"1,500 sqft",1925,Open Parking,Pool,"$174,900",Philadelphia
1103 S Wilton St,4 Beds,1 Bath,"1,484 sqft",1916,Open Parking,No,"$350,000",Philadelphia
129 Wolf St,3 Beds,2 Baths,"1,096 sqft",1905,Open Parking,Pool,"$290,000",Philadelphia
506 Kater St,3 Beds,3 Baths,"1,764 sqft",2006,Open Parking,Pool,"$539,000",Philadelphia
7738 Richard St,3 Beds,2 Baths,"1,128 sqft",1957,1 Car Garage,No,"$289,000",Philadelphia
5650 Stewart St,3 Beds,1 Bath,"1,160 sqft",1927,1 Car Garage,Pool,"$144,900",Philadelphia
3429 Tudor St,3 Beds,2 Baths,"2,200 sqft",1925,1 Open Spaces,Pool,"$240,000",Philadelphia
5626 Diamond St,3 Beds,2 Baths,"1,574 sqft",1925,1 Car Garage,Pool,"$265,000",Philadelphia
6617 Walker St,3 Beds,1 Bath,"1,088 sqft",1950,1 Car Garage,Pool,"$182,900",Philadelphia
7924 Mars Pl,4 Beds,2 Baths,"1,290 sqft",1925,1 Car Garage,Pool,"$269,000",Philadelphia
330 W Wellens Ave,3 Beds,2 Baths,"1,110 sqft",1900,No Info,Pool,"$239,750",Philadelphia
147 W Seymour St,5 Beds,1 Bath,"1,827 sqft",1900,None,Pool,"$235,000",Philadelphia
2203 Montrose St,2 Beds,2 Baths,"1,023 sqft",1920,Open Parking,Pool,"$465,000",Philadelphia
1314 S Paxon St,3 Beds,1 Bath,"1,050 sqft",1940,Open Parking,Pool,"$214,500",Philadelphia
2939 Lardner St,3 Beds,1 Bath,"1,136 sqft",1950,1 Car Garage,Pool,"$174,900",Philadelphia
1544 Devereaux Ave,3 Beds,1 Bath,"1,242 sqft",1950,1 Car Garage,Pool,"$199,900",Philadelphia
3216 Fordham Rd,3 Beds,1 Bath,"1,164 sqft",1954,1 Car Garage,Pool,"$199,500",Philadelphia
3665 Belgrade St,3 Beds,3 Baths,"2,008 sqft",2009,No Info,Pool,"$279,900",Philadelphia
5338 Webster St,4 Beds,1 Bath,"1,600 sqft",1925,Open Parking,Pool,"$269,900",Philadelphia
3405 Amity Rd,3 Beds,3 Baths,"1,449 sqft",1973,1 Car Garage,Pool,"$309,900",Philadelphia
1063 Edgemore Rd,2 Beds,2 Baths,800 sqft,1925,Open Parking,Pool,"$180,000",Philadelphia
4514 Higbee St,4 Beds,3 Baths,"2,850 sqft",2010,1 Car Garage,No,"$439,900",Philadelphia
2818 N Swanson St,2 Beds,1 Bath,936 sqft,1935,Open Parking,Pool,"$145,000",Philadelphia
8600 Jackson St,3 Beds,2 Baths,"1,152 sqft",1962,1 Open Spaces,Pool,"$195,000",Philadelphia
2351 N Mascher St,3 Beds,2 Baths,"1,334 sqft",1996,1 Open Spaces,Pool,"$354,900",Philadelphia
310 Lombard St,3 Beds,3 Baths,"2,039 sqft",1805,1 Parking Spaces,Pool,"$1,150,000",Philadelphia
536 Mifflin St,3 Beds,3 Baths,"1,625 sqft",1920,Open Parking,Pool,"$350,000",Philadelphia
705 Earp St,3 Beds,1 Bath,"1,350 sqft",1915,Open Parking,Pool,"$269,900",Philadelphia
3433 Chalfont Dr,3 Beds,2 Baths,"1,360 sqft",1974,1 Car Garage,Pool,"$299,900",Philadelphia
3803 Sharp St,4 Beds,3 Baths,"1,944 sqft",1900,Open Parking,Pool,"$359,900",Philadelphia
106 W Salaignac St,5 Beds,2 Baths,"1,768 sqft",No Info,Open Parking,Pool,"$359,900",Philadelphia
5941 N Lawrence St,4 Beds,2 Baths,"1,316 sqft",1947,1 Car Garage,Pool,"$179,999",Philadelphia
242 E Slocum St,4 Beds,3 Baths,"2,060 sqft",No Info,Open Parking,Pool,"$399,000",Philadelphia
1038 N Leithgow St,3 Beds,1 Bath,"1,110 sqft",1920,Open Parking,Pool,"$360,000",Philadelphia
3040 N Water St,2 Beds,1 Bath,"1,016 sqft",1920,Open Parking,Pool,"$59,000",Philadelphia
440 Dupont St,3 Beds,4 Baths,"2,040 sqft",2006,1 Car Garage,Pool,"$460,000",Philadelphia
808 Morris St,3 Beds,4 Baths,"5,550 sqft",1925,Garage,No,"$2,875,000",Philadelphia
