Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1907 Robinson Ave #108,2 Beds,1 Bath,862 sqft ,1976,Garage,Pool,"$558,100",San Diego
5250 Lenox Dr,4 Beds,2 Baths,"1,289 sqft",1973,2 Car Garage,No,"$460,000",San Diego
7720 Tyrolean Rd,3 Beds,2 Baths,"1,227 sqft",1972,1 Car Garage,Yes,"$798,000",San Diego
6124 Artisan Way,5 Beds,5 Baths,"3,989 sqft",2018,2 Car Garage,No,"$2,295,000",San Diego
12614 Darkwood Rd,4 Beds,3 Baths,"2,287 sqft",1987,3 Car Garage,Yes,"$1,299,000",San Diego
3078 Broadway #107,2 Beds,2 Baths,827 sqft,1993,Garage,No,"$469,000",San Diego
12048 Rue Des Amis,3 Beds,3 Baths,"1,622 sqft",1984,2 Car Garage,Yes,"$999,000",San Diego
2287 Loring St #1,3 Beds,3 Baths,"2,312 sqft ",1989,2 Car Garage,,"$1,099,000",San Diego
4671 Hamilton St #4,2 Beds,2 Baths,739 sqft,2000,2 Parking Spaces,Pool,"$499,000",San Diego
1951 47th St #146,2 Beds,2 Baths,"1,466 sqft ",2014,No Info,,"$169,900",San Diego
5170 Clairemont Mesa Blvd #51-18,2 Beds,2 Baths,"1,026 sqft",1983,Garage,Pool,"$436,900",San Diego
10676 Rancho Carmel Dr,3 Beds,2 Baths,"1,322 sqft ",1987,2 Car Garage,No,"$749,900",San Diego
4864 49th St,2 Beds,1 Bath,"1,115 sqft",1951,2 Car Garage,No,"$899,000",San Diego
303 S 46th St,3 Beds,4 Baths,"1,045 sqft",1923,2 Carport Spaces,No,"$579,900",San Diego
4545 Collwood Blvd #20,2 Beds,2 Baths,"1,120 sqft",1971,Garage,Pool,"$375,000",San Diego
3228 44th St #5,2 Beds,2 Baths,880 sqft,1981,Open Parking,,"$380,000",San Diego
3007 Central Ave,3 Beds,1 Bath,"1,080 sqft ",1965,Garage,No,"$600,000",San Diego
978 Granger St,3 Beds,3 Baths,"1,687 sqft",1965,2 Car Garage,No,"$749,000",San Diego
7620 Stalmer St #106,3 Beds,2 Baths,"1,209 sqft",1987,1 Car Garage,Pool,"$515,000",San Diego
2737 Lungos Ct,5 Beds,3 Baths,"1,745 sqft",1986,2 Car Garage,No,"$649,999",San Diego
2930 Naugatuck Ave,3 Beds,2 Baths,"1,109 sqft",1956,2 Car Garage,No,"$965,000",San Diego
4845 Castle Ave,4 Beds,2 Baths,"1,342 sqft",1946,Garage,No,"$749,000",San Diego
3872 Creststone Pl,3 Beds,3 Baths,"1,479 sqft ",1991,Garage,Pool,"$1,013,100",San Diego
236 Payne St,3 Beds,2 Baths,940 sqft,2015,Garage,No,"$579,900",San Diego
8190 Califa Ct,4 Beds,2 Baths,"1,608 sqft",1972,2 Car Garage,No,"$935,000",San Diego
12535 Alcacer Del Sol,3 Beds,2 Baths,"1,705 sqft",1987,2 Car Garage,No,"$949,000",San Diego
3135 Manos Dr,4 Beds,3 Baths,"2,090 sqft",1974,2 Car Garage,No,"$650,000",San Diego
328 W Lewis St,3 Beds,3 Baths,"1,964 sqft ",1929,Garage,No,"$1,750,000",San Diego
821 Reef Dr,3 Beds,2 Baths,"1,258 sqft",1970,2 Car Garage,No,"$659,000",San Diego
3573 Chasewood Dr,4 Beds,3 Baths,"1,558 sqft",1962,2 Car Garage,No,"$1,100,000",San Diego
1656 Yost Dr,4 Beds,3 Baths,"1,868 sqft ",1965,Garage,No,"$1,850,000",San Diego
2615 Nansen Ave,3 Beds,2 Baths,"1,457 sqft ",1963,2 Car Garage,Yes,"$1,499,000",San Diego
11445 Spica Dr,3 Beds,2 Baths,"1,392 sqft",1972,2 Car Garage,No,"$849,000",San Diego
4120 Vivian St,3 Beds,1 Bath,"1,280 sqft",1951,1 Car Garage,No,"$559,000",San Diego
880 60th St,4 Beds,2 Baths,"1,254 sqft",1991,2 Parking Spaces,No,"$689,900",San Diego
5290 Timber Branch Way,4 Beds,3 Baths,"2,259 sqft",1999,3 Car Garage,No,"$1,650,000",San Diego
5407 Baja Dr,3 Beds,2 Baths,"1,153 sqft",1960,2 Car Garage,No,"$845,000",San Diego
4536 Arizona St #4,3 Beds,2 Baths,"1,338 sqft",1992,2 Car Garage,Pool,"$699,900",San Diego
8886 La Cartera St,5 Beds,3 Baths,"2,734 sqft",1987,2 Car Garage,Yes,"$1,368,000",San Diego
5850 Camino De La Costa,4 Beds,5 Baths,"5,139 sqft",2016,Garage,Yes,"$13,595,000",San Diego
1344 Monitor Rd,5 Beds,4 Baths,"3,440 sqft",1998,2 Car Garage,No,"$2,150,000",San Diego
3229 28th St,4 Beds,3 Baths,"3,331 sqft",1990,2 Car Garage,Yes,"$2,395,000",San Diego
5556 Rutgers Rd,3 Beds,3 Baths,"2,108 sqft",1961,2 Car Garage,No,"$2,999,000",San Diego
16965 Manresa Ct,3 Beds,3 Baths,"1,819 sqft",1972,2 Car Garage,Yes,"$929,000",San Diego
8484 Ednalyn Ln,4 Beds,3 Baths,"2,360 sqft",2010,2 Car Garage,No,"$1,295,000",San Diego
9434 Adolphia St,5 Beds,3 Baths,"2,506 sqft ",1987,2 Car Garage,No,"$1,200,000",San Diego
4034 Lago Di Grata Cir,5 Beds,5 Baths,"3,693 sqft",2001,3 Car Garage,Yes,"$2,195,000",San Diego
2854 Amulet St,3 Beds,2 Baths,"1,635 sqft",1959,Garage,Yes,"$859,900",San Diego
5533 Adobe Falls Rd #13,3 Beds,2 Baths,"1,116 sqft ",1973,2 Parking Spaces,Pool,"$425,000",San Diego
1325 Caminito Halago,3 Beds,3 Baths,"2,571 sqft",1990,2 Car Garage,No,"$2,200,000",San Diego
17972 Alva Rd,5 Beds,4 Baths,"3,690 sqft",2012,3 Car Garage,No,"$1,868,000",San Diego
4450 Florida St,3 Beds,2 Baths,962 sqft,1926,Garage,No,"$919,000",San Diego
12626 Carmel Country Rd #94,2 Beds,3 Baths,"1,088 sqft ",1991,Garage,Pool,"$674,900",San Diego
10284 Empress Ave,4 Beds,2 Baths,"2,000 sqft",1973,2 Car Garage,No,"$825,000",San Diego
4702 Mount Harris Dr,4 Beds,2 Baths,"1,176 sqft",1958,2 Car Garage,Yes,"$899,000",San Diego
1755 Nilo Way,3 Beds,2 Baths,"1,389 sqft",1986,2 Car Garage,No,"$649,000",San Diego
12222 Summerbreeze Ln,3 Beds,3 Baths,"1,539 sqft",1988,2 Car Garage,No,"$1,010,000",San Diego
4944 Vandever Ave,3 Beds,2 Baths,"1,307 sqft",1955,2 Car Garage,No,"$725,000",San Diego
10770 Black Mountain Rd,3 Beds,2 Baths,"1,434 sqft",2022,Carport,Pool,"$345,000",San Diego
10535 Livewood Way,4 Beds,3 Baths,"2,746 sqft ",1982,3 Car Garage,No,"$1,689,000",San Diego
17337 Francisco Dr,4 Beds,2 Baths,"2,012 sqft ",1968,2 Car Garage,No,"$1,200,000",San Diego
3602 Highland Ave,4 Beds,2 Baths,"1,487 sqft",1967,Open Parking,No,"$574,000",San Diego
308 Vista De La Playa,7 Beds,9 Baths,"10,300 sqft",2000,3 Car Garage,Yes,"$28,000,000",San Diego
4575 La Cuenta Dr,4 Beds,2 Baths,"1,817 sqft",1978,2 Car Garage,No,"$1,250,000",San Diego
8244 Prestwick Dr,5 Beds,6 Baths,"4,478 sqft ",2010,3 Car Garage,Yes,"$12,450,000",San Diego
4735 Panorama Dr,2 Beds,2 Baths,"1,089 sqft",1924,Garage,No,"$1,199,950",San Diego
10416 Whitcomb Way #96,4 Beds,3 Baths,"1,642 sqft ",2006,2 Car Garage,No,"$894,999",San Diego
1528 Reklow Dr,3 Beds,2 Baths,"1,481 sqft",1973,2 Car Garage,No,"$680,000",San Diego
2758 Ariane Dr #123,2 Beds,3 Baths,"1,210 sqft ",1981,2 Car Garage,Pool,"$649,000",San Diego
3955 Faircross Pl #78,2 Beds,2 Baths,"1,069 sqft",1985,1 Car Garage,Pool,"$399,000",San Diego
15886 Anjou Ln,4 Beds,3 Baths,"2,806 sqft",2017,2 Car Garage,No,"$1,795,000",San Diego
13520 Jadestone Way,2 Beds,3 Baths,"1,231 sqft",1995,2 Car Garage,Pool,"$849,900",San Diego
8022 Linda Vista Rd #1N,2 Beds,2 Baths,900 sqft ,1977,1 Car Garage,Pool,"$409,950",San Diego
3552 Brookshire St,4 Beds,2 Baths,"1,470 sqft",1963,2 Car Garage,No,"$875,000",San Diego
5554 Santa Margarita St,4 Beds,2 Baths,"1,512 sqft",1961,Open Parking,No,"$550,000",San Diego
