Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
214 Putnam St,3 Beds,4 Baths,"2,255 sqft",1996,Attached Garage,No,"$998,000",San Francisco
1125 Vicente St,3 Beds,2 Baths,"2,018 sqft",1936,No Info,No,"$998,000",San Francisco
646 De Haro St,2 Beds,2 Baths,"1,515 sqft",1934,Attached Garage,No,"$1,395,000",San Francisco
89 Vienna St,2 Beds,1 Bath,,1900,Attached Garage,No,"$899,000",San Francisco
134-136 Hartford St,2 Beds,2 Baths,"2,000 sqft",1900,0 Open Spaces,,"$895,000",San Francisco
170 Prague St,4 Beds,2 Baths,"1,300 sqft",1928,Attached Garage,No,"$928,000",San Francisco
340 Munich St,3 Beds,2 Baths,"1,000 sqft",1895,Attached Garage,No,"$950,000",San Francisco
333 Haight St #3,3 Beds,2 Baths,"1,350 sqft",1961,Garage,Pool,"$775,000",San Francisco
295 Mangels Ave,3 Beds,2 Baths,"1,384 sqft",1959,Attached Garage,No,"$1,359,000",San Francisco
160 Sea Cliff Ave,5 Beds,6 Baths,"5,930 sqft",1915,Attached Garage,No,"$15,950,000",San Francisco
174 Naples St,3 Beds,2 Baths,"1,350 sqft",1925,Attached Garage,No,"$875,000",San Francisco
612 Lisbon St,3 Beds,3 Baths,"1,800 sqft",1908,Garage,No,"$1,158,000",San Francisco
338 Potrero Ave #304,2 Beds,2 Baths,832 sqft ,2016,No Info,,"$354,457",San Francisco
2026 47th Ave,3 Beds,2 Baths,"1,224 sqft",1940,Garage,No,"$995,000",San Francisco
262 Downey St,2 Beds,2 Baths,,1907,0 Open Spaces,,"$1,075,000",San Francisco
245 Hamilton St,3 Beds,1 Bath,"1,450 sqft",1930,Attached Garage,No,"$1,095,000",San Francisco
1319 41st Ave,3 Beds,2 Baths,"1,300 sqft",1950,Garage,No,"$1,295,000",San Francisco
163 Monterey Blvd,3 Beds,2 Baths,"1,075 sqft",1939,Attached Garage,No,"$1,395,000",San Francisco
1 Nordhoff St,3 Beds,2 Baths,"1,580 sqft",1958,Attached Garage,No,"$1,495,000",San Francisco
1061 Florida St,3 Beds,2 Baths,"2,412 sqft",No Info,2 Parking Spaces,No,"$2,195,000",San Francisco
2375 46th Ave,3 Beds,1 Bath,"1,300 sqft",1947,Garage,No,"$1,095,000",San Francisco
2210 Cecilia Ave,3 Beds,3 Baths,,No Info,Attached Garage,No,"$1,298,000",San Francisco
68 Glenview Dr,4 Beds,3 Baths,"1,829 sqft",1951,Garage,No,"$1,595,000",San Francisco
2051 31st Ave,2 Beds,2 Baths,"1,358 sqft",1945,Attached Garage,No,"$1,098,000",San Francisco
2945 Lincoln Way,4 Beds,4 Baths,"2,940 sqft",1924,Garage,No,"$1,995,000",San Francisco
319 Montcalm St,3 Beds,2 Baths,"2,000 sqft",1900,2 Parking Spaces,No,"$1,799,000",San Francisco
2130 26th Ave,5 Beds,3 Baths,"2,405 sqft",1937,Garage,No,"$1,795,000",San Francisco
459 Ashbury St,5 Beds,6 Baths,"4,270 sqft",1893,Garage,No,"$4,995,000",San Francisco
47 Colby St,3 Beds,2 Baths,"1,657 sqft",1937,Attached Garage,No,"$1,495,000",San Francisco
679 39th Ave,5 Beds,3 Baths,"2,120 sqft",1924,Garage,No,"$1,895,000",San Francisco
65 Homestead St,3 Beds,4 Baths,"2,477 sqft",1911,No Info,No,"$2,095,000",San Francisco
73 Florentine St,2 Beds,1 Bath,"1,285 sqft",1925,Attached Garage,No,"$995,000",San Francisco
669 Marina Blvd,5 Beds,5 Baths,"4,752 sqft",1931,Garage,No,"$8,998,000",San Francisco
172 Prentiss St,4 Beds,4 Baths,"3,481 sqft",1926,Attached Garage,No,"$3,998,000",San Francisco
761 Noe St,2 Beds,1 Bath,,1941,Garage,No,"$1,495,000",San Francisco
369 Pacheco St,4 Beds,4 Baths,"3,225 sqft",1926,Attached Garage,No,"$2,895,000",San Francisco
176 Sadowa St,2 Beds,1 Bath,"1,243 sqft",1941,Garage,No,"$949,000",San Francisco
457 Duboce Ave,3 Beds,1 Bath,"1,338 sqft",1900,Attached Garage,No,"$1,995,000",San Francisco
127 Ramsell St,3 Beds,2 Baths,"1,293 sqft",1941,Garage,No,"$899,000",San Francisco
1457 10th Ave,4 Beds,4 Baths,"2,827 sqft",1910,Attached Garage,No,"$3,195,000",San Francisco
3817 26th St,4 Beds,3 Baths,"2,047 sqft",1960,2 Parking Spaces,No,"$2,195,000",San Francisco
4745 18th St,2 Beds,2 Baths,"1,600 sqft",1887,Garage,No,"$1,895,000",San Francisco
55 Lundys Ln,2 Beds,2 Baths,,No Info,Garage,No,"$1,049,000",San Francisco
1356 Dolores St,4 Beds,3 Baths,"2,398 sqft",1900,Attached Garage,No,"$2,895,000",San Francisco
7 Juri St,3 Beds,2 Baths,"1,652 sqft",1900,Attached Garage,No,"$1,868,000",San Francisco
2920 Franklin St,5 Beds,6 Baths,"4,665 sqft",2019,Attached Garage,No,"$6,250,000",San Francisco
200 San Jose Ave,3 Beds,3 Baths,"2,426 sqft",1900,Attached Garage,No,"$2,495,000",San Francisco
42 Prospect Ave,4 Beds,3 Baths,"2,232 sqft",No Info,Garage,No,"$2,995,000",San Francisco
639 Waller St,5 Beds,2 Baths,"2,600 sqft",1900,Attached Garage,No,"$2,950,000",San Francisco
316 Surrey St,2 Beds,1 Bath,"1,181 sqft",1908,Garage,No,"$1,498,000",San Francisco
