Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1560 33rd St NW,2 Beds,2 Baths,"1,772 sqft",1860,Open Parking,Pool,"$990,000",Washington
3315 Highland Pl NW,5 Beds,5 Baths,"4,300 sqft",1897,2 Open Spaces,No,"$3,775,000",Washington
1702 Lanier Pl NW,5 Beds,4 Baths,"2,824 sqft",1920,1 Parking Spaces,Pool,"$1,400,000",Washington
5714 3rd Pl NW,3 Beds,3 Baths,"2,580 sqft",1936,1 Car Garage,No,"$715,000",Washington
1411 Kennedy St NW,7 Beds,4 Baths,"4,828 sqft",1913,Garage,No,"$1,750,000",Washington
764 Gresham Pl NW,3 Beds,3 Baths,"2,076 sqft",1910,Open Parking,No,"$879,000",Washington
1122 Shepherd St NE,3 Beds,2 Baths,"2,038 sqft",1912,Open Parking,No,"$694,900",Washington
4290 S Capitol Ter SW,4 Beds,4 Baths,"2,400 sqft",2017,Open Parking,No,"$535,000",Washington
1745 Verbena St NW,5 Beds,4 Baths,"3,368 sqft ",1960,Open Parking,No,"$1,299,000",Washington
3510 Northampton St NW,3 Beds,3 Baths,"1,964 sqft",1939,Garage,No,"$995,000",Washington
5063 Overlook Rd NW,6 Beds,6 Baths,"8,000 sqft ",1954,1 Car Garage,Yes,"$3,995,000",Washington
2010 48th St NW,6 Beds,4 Baths,"3,560 sqft",1963,1 Car Garage,No,"$1,595,000",Washington
1921 Otis St NE,3 Beds,2 Baths,"1,544 sqft",1929,1 Carport Spaces,No,"$669,000",Washington
6612 Piney Branch Rd NW,4 Beds,2 Baths,"1,944 sqft",1923,Open Parking,No,"$649,900",Washington
4310 Brandywine St NW,3 Beds,3 Baths,"1,800 sqft",1926,Open Parking,No,"$1,029,000",Washington
5300 Sherier Pl NW,5 Beds,5 Baths,"3,857 sqft",1979,1 Car Garage,No,"$1,850,000",Washington
3823 Van Ness St NW,4 Beds,3 Baths,"2,033 sqft",1926,Garage,No,"$1,085,000",Washington
1228 30th St NW,5 Beds,5 Baths,"3,255 sqft",1900,Open Parking,No,"$2,549,000",Washington
3211 5th St SE,5 Beds,3 Baths,"2,964 sqft",1925,Garage,No,"$650,000",Washington
115 5th St SE,5 Beds,4 Baths,"3,117 sqft",1890,Garage,No,"$2,695,000",Washington
1944 S St SE,2 Beds,1 Bath,996 sqft,1939,Open Parking,No,"$500,000",Washington
1233 Euclid St NW #2,2 Beds,2 Baths,"1,119 sqft",1911,Open Parking,Pool,"$659,900",Washington
5865 Nebraska Ave NW,4 Beds,4 Baths,"2,829 sqft",1942,Garage,No,"$1,250,000",Washington
5335 Nebraska Ave NW,4 Beds,3 Baths,"2,300 sqft",1931,2 Car Garage,No,"$1,095,000",Washington
2941 Upton St NW,5 Beds,4 Baths,"3,180 sqft",1924,Garage,Pool,"$1,450,000",Washington
3815 24th St NE,4 Beds,3 Baths,"2,022 sqft",1929,1 Parking Spaces,No,"$815,000",Washington
1701 Bunker Hill Rd NE,4 Beds,4 Baths,"3,057 sqft",1926,5 Open Spaces,No,"$850,000",Washington
219 Anacostia Ave NE,3 Beds,2 Baths,"1,323 sqft",1949,Open Parking,Pool,"$409,900",Washington
615 Rhode Island Ave NW,3 Beds,2 Baths,"1,444 sqft",1880,Open Parking,Pool,"$675,000",Washington
