Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,price/sqft
6716 Carney Ave NW,3,2,1687,1992,yes,250000,Albuquerque,148.19
7429 Gila Rd NE,4,2,2245,1973,yes,445990,Albuquerque,198.66
9919 Brunswick Pl NW,4,3,2168,2004,yes,350000,Albuquerque,161.44
4413 Delamar Ave NE,3,2,1867,1959,yes,255000,Albuquerque,136.58
4618 Inspiration Dr SE,4,2,1973,1951,no,280000,Albuquerque,141.92
5701 Altima Pl NW,4,3,2336,1998,yes,359900,Albuquerque,154.07
12213 Cedar Ridge Dr NE,3,2,1568,1968,yes,249900,Albuquerque,159.38
1315 Ponderosa Ave NW,3,2,1432,1959,no,249000,Albuquerque,173.88
10740 Galaxia Park Dr NW,3,2,1742,1999,yes,260000,Albuquerque,149.25
8019 Lyndsi Ave NW,4,3,2007,1997,yes,279900,Albuquerque,139.46
4943 Story Rock St NW,3,2,1458,2003,yes,265000,Albuquerque,181.76
7715 Snowberry St NW,3,2,1570,1990,yes,259000,Albuquerque,164.97
10724 Hatch Dr NW,3,2,1090,2001,yes,225000,Albuquerque,206.42
10833 Lowe St NE,4,2,1726,1978,yes,325000,Albuquerque,188.3
7827 Buckboard Ave NE,4,2,1861,1979,yes,335000,Albuquerque,180.01
2900 Pennsylvania St NE,3,2,1761,1959,yes,265000,Albuquerque,150.48
7300 Bobwhite Ln NE,3,2,1872,1987,yes,180000,Albuquerque,96.15
4704 Haines Ave NE,3,1,1147,1952,yes,250000,Albuquerque,217.96
9804 Sun Mountain Trl SW,3,2,1571,2006,yes,228000,Albuquerque,145.13
1015 Via Chamisa NE,4,2,1880,2001,yes,375000,Albuquerque,199.47
9619 Slickrock Ct NW,3,3,2312,2014,yes,390000,Albuquerque,168.69
1051 Marapi St NW,3,3,1930,2006,yes,319500,Albuquerque,165.54
5520 Benson Ct NW,3,2,1518,2005,yes,281300,Albuquerque,185.31
14000 Oak Butte Rd NE,5,3,4963,1991,yes,695000,Albuquerque,140.04
4038 Anderson Ave SE,3,2,1365,1945,yes,285000,Albuquerque,208.79
12516 Mountain Ridge Pl NE,3,3,2236,1998,yes,375000,Albuquerque,167.71
11500 Molly Brown Ave NE,5,3,3570,1983,yes,600000,Albuquerque,168.07
4800 Royene Ave NE,4,3,2698,1957,yes,568000,Albuquerque,210.53
232 Serenity Ct SE,2,2,1337,1995,yes,245000,Albuquerque,183.25
4713 Hannett Ave NE,3,2,1795,1952,yes,560000,Albuquerque,311.98
3503 Berkeley Pl NE,3,2,2338,1940,yes,575000,Albuquerque,245.94
8420 Aztec Rd NE,5,3,2861,1966,yes,542900,Albuquerque,189.76
6411 Sonrisa Pl NE,4,3,1750,2000,yes,375000,Albuquerque,214.29
6135 Bisbee Pl NW,3,3,1899,2001,yes,285000,Albuquerque,150.08
1141 Glorieta St NE,4,2,1732,1957,yes,256000,Albuquerque,147.81
221 58th St NW,2,2,937,1940,no,165000,Albuquerque,176.09
8504 Sonoma Valley Dr NE,3,3,2617,1995,yes,515000,Albuquerque,196.79
8505 Mesa Top Rd NW,3,3,2448,2011,yes,465000,Albuquerque,189.95
324 14th St NW,2,2,1195,1926,yes,260000,Albuquerque,217.57
5005 Inspiration Dr SE,3,2,1649,1953,yes,315000,Albuquerque,191.02
9820 Wagon Gate Trl SW,4,2,1584,2006,yes,238000,Albuquerque,150.25
5928 Night Shadow Ave NW,3,2,1262,2003,yes,239900,Albuquerque,190.1
4204 Brockmont Ave NE,2,2,1450,1950,yes,339900,Albuquerque,234.41
1225 Columbia Dr NE,4,3,2051,1948,no,525000,Albuquerque,255.97
6008 Cardigan Ct NW,3,3,2250,1995,yes,325000,Albuquerque,144.44
7712 Ned St NE,3,2,1792,1998,no,200000,Albuquerque,111.61
9701 Constitution Ave NE,3,1,1121,1956,yes,212900,Albuquerque,189.92
6511 Wayne Rd NW,3,2,1292,1985,yes,179900,Albuquerque,139.24
215 Shawnee Ct SE,3,3,1506,1988,yes,150000,Albuquerque,99.6
6601 Tauton Rd NW,3,2,1751,2003,yes,269000,Albuquerque,153.63
10512 San Jacinto Ave NE,3,2,1780,1959,no,254900,Albuquerque,143.2
9036 Wind Caves Way NW,2,2,2035,2017,yes,525000,Albuquerque,257.99
4701 Morris St NE #903,3,3,1328,2002,yes,205000,Albuquerque,154.37
214 Shangri La Ct NW,3,2,2110,1949,no,380000,Albuquerque,180.09
6640 Casa Loma NE,2,2,2296,1981,yes,325000,Albuquerque,141.55
3524 12th St NW,2,1,1230,1939,yes,200000,Albuquerque,162.6
4207 Lead Ave SE,3,2,1254,1954,no,229000,Albuquerque,182.62
4931 Palo Alto Ave SE,4,2,1604,1950,no,245000,Albuquerque,152.74
2928 Pauza Dr SW,3,2,1400,2018,yes,232000,Albuquerque,165.71
7415 Saltbrush Rd SW,3,2,1092,1999,yes,198500,Albuquerque,181.78
1601 Borrego Dr SE,4,3,1998,2019,yes,330000,Albuquerque,165.17
6504 Belcher Ave NE,4,3,2025,1979,yes,375000,Albuquerque,185.19
9220 Hondo Valley Pl SW,4,2,1681,2007,yes,225000,Albuquerque,133.85
1404 8th St SW,3,2,1796,2018,yes,295000,Albuquerque,164.25
6915 Brindisi Pl NW,3,3,1414,2005,yes,220000,Albuquerque,155.59
928 Avenida Manana NE,4,3,2469,1951,yes,565000,Albuquerque,228.84
9805 Sun Chaser Trl SW,3,3,2575,2006,yes,285000,Albuquerque,110.68
402 58th St NW,4,2,1829,1952,no,230000,Albuquerque,125.75
4601 Carlisle Blvd NE #G8,2,2,770,1972,no,98500,Albuquerque,127.92
4836 Benton Ave NW,4,3,2721,2004,yes,449900,Albuquerque,165.34
6155 Cyonus Ave NW,2,1,1031,2001,yes,175000,Albuquerque,169.74
1727 Chacoma Pl SW,4,3,2084,1958,yes,575000,Albuquerque,275.91
12237 Palm Springs Ave NE,3,3,2185,1967,yes,424900,Albuquerque,194.46
8803 Menaul Blvd NE,3,2,1388,1952,yes,200000,Albuquerque,144.09
6339 El Camino Real St NE,2,2,1150,1982,yes,210000,Albuquerque,182.61
6001 Alta Monte Ave NE,4,3,1650,1953,yes,315000,Albuquerque,190.91
519 Cole Springs Dr SW,3,3,2296,2005,yes,280000,Albuquerque,121.95
3316 Mountainside Pkwy NE,3,3,1686,1998,yes,285000,Albuquerque,169.04
4901 Indigo Dr NW,3,3,1988,1987,yes,339900,Albuquerque,170.98
